VendorNumber,VendorName,Brand,Purchaseprice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreighhtCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
12546,JIM BEAM BRANDS COMPANY,1346,22.55,750.0,29.99,4234.0,95476.70000000016,397.0,11906.029999999952,7347.549999999962,312.66000000000025,123880.96999999999,-83570.6700000002,-87.52991043888201,0.09376476145488899,0.12470089561117982
8004,SAZERAC CO INC,5103,17.14,1750.0,23.99,5458.0,93550.11999999957,473.0,13352.269999999955,6695.629999999965,869.1300000000002,50293.62000000002,-80197.84999999961,-85.72714818537911,0.08666178087211433,0.14272851814620885
12546,JIM BEAM BRANDS COMPANY,1376,16.29,1750.0,21.99,5713.0,93064.77000000014,1723.0,39403.77000000005,11029.179999999915,3165.5700000000156,123880.96999999999,-53661.00000000009,-57.6598427095452,0.30159285839313843,0.423401572904548
3960,DIAGEO NORTH AMERICA INC,3798,19.83,750.0,28.99,4678.0,92764.7400000001,192.0,5546.07999999999,2386.169999999998,151.2000000000001,257032.07000000007,-87218.66000000012,-94.02134905999846,0.041043180846515606,0.05978650940001539
8664,"STOLI GROUP,(USA) LLC",8112,19.52,1750.0,24.99,4663.0,91021.76000000011,606.0,16239.939999999931,8242.919999999951,1113.5199999999986,18544.489999999998,-74781.82000000018,-82.15817843996874,0.1299592536993352,0.17841821560031262
17035,PERNOD RICARD USA,3423,21.25,1750.0,26.99,4274.0,90822.5,537.0,14493.629999999945,7746.129999999955,986.6599999999997,123780.21999999997,-76328.87000000005,-84.04180682099705,0.12564342536265793,0.15958193179002939
12546,JIM BEAM BRANDS COMPANY,1737,34.3,1750.0,51.99,2504.0,85887.20000000017,311.0,14645.889999999963,8764.13999999997,571.4999999999991,123880.96999999999,-71241.3100000002,-82.94752885179638,0.12420127795527157,0.17052471148203613
9552,M S WALKER INC,3893,7.93,1750.0,9.99,10644.0,84406.9200000002,2250.0,22477.500000000004,4325.669999999952,4133.940000000017,55551.819999999985,-61929.4200000002,-73.37007439674383,0.21138669673055244,0.26629925603256166
4425,MARTIGNETTI COMPANIES,11214,50.33,750.0,74.99,1675.0,84302.75000000013,156.0,11698.439999999991,3374.549999999996,17.439999999999994,144929.24,-72604.31000000014,-86.12329965511212,0.09313432835820895,0.13876700344887888
1128,BROWN-FORMAN CORP,2015,18.1,750.0,22.99,4437.0,80309.69999999995,394.0,9146.059999999961,4933.879999999974,310.31999999999994,68601.68000000001,-71163.63999999998,-88.61151268153165,0.08879873788595898,0.11388487318468338
3960,DIAGEO NORTH AMERICA INC,3876,13.95,1750.0,19.99,5513.0,76906.34999999992,1679.0,31623.210000000046,8400.549999999928,3084.780000000013,257032.07000000007,-45283.13999999987,-58.88088564858418,0.3045528750226737,0.4111911435141582
3960,DIAGEO NORTH AMERICA INC,4262,11.19,750.0,13.99,6867.0,76841.72999999959,1348.0,20300.519999999993,6022.019999999944,1061.2999999999988,257032.07000000007,-56541.2099999996,-73.58138605156326,0.1963011504295908,0.2641861394843674
